# qsoName,ra,dec,filterID,nEpochs
#
# Results of Query: Database VSERV1000v20181217 24/05/19 09:20
# SELECT qso.qsoName,qso.ra,qso.dec,remeas.filterID,COUNT(*) as nEpochs 
#   /* Select name, ra, dec, filterID and counts of observations in 
# each   filter */ FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasurement as remeas, 
# Filter as f, Multiframe as m,MapFrameStatus as mfs   /* Main tables 
# for query. MapApertureIDshighzQsoMap joins   finalQsoCatalogue to 
# vserv1000MapRemeasurement */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=remeas.apertureID and 
# remeas.catalogueID=mfs.catalogueID and 
# mfs.multiframeID=m.multiframeID and f.filterID=m.filterID   /* Join 
# all the tables correctly MapFrameStatus links the   catalogueID to 
# the multiframeID, which allows us to link to the   image metadate in 
# Multiframe to get the observation time (mjdObs) */ GROUP BY 
# qso.qsoName,qso.ra,qso.dec,remeas.filterID   /* Group by qso name and 
# filter to get the counts as a function of   QSO and filterID */ ORDER 
# BY qso.ra,remeas.filterID
# Column Headers at start of file AND below
#
# qsoName,ra,dec,filterID,nEpochs
                  SDSSJ0005-0006,      +1.4680833,      -0.1154999,   3,          2
                  SDSSJ0005-0006,      +1.4680833,      -0.1154999,   4,          2
                  SDSSJ0005-0006,      +1.4680833,      -0.1154999,   5,          2
            PSOJ004.3936+17.0862,      +4.3936135,     +17.0863045,   3,          2
            PSOJ004.3936+17.0862,      +4.3936135,     +17.0863045,   5,          5
                  VDESJ0020-3653,      +5.1311237,     -36.8949476,   3,          3
                  VDESJ0020-3653,      +5.1311237,     -36.8949476,   5,          3
                  SDSSJ0023-0018,      +5.8777916,      -0.3101111,   3,          2
                  SDSSJ0023-0018,      +5.8777916,      -0.3101111,   4,          2
                  SDSSJ0023-0018,      +5.8777916,      -0.3101111,   5,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   2,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   3,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   4,          2
                SDWISEJ0025-0145,      +6.3618333,      -1.7590306,   5,          2
                 CFHQSJ0033-0125,      +8.2975000,      -1.4235833,   3,          2
                 CFHQSJ0033-0125,      +8.2975000,      -1.4235833,   4,          2
                 CFHQSJ0033-0125,      +8.2975000,      -1.4235833,   5,          2
                  SDSSJ0054-0109,     +13.5892499,      -1.1560000,   3,          3
                  SDSSJ0054-0109,     +13.5892499,      -1.1560000,   4,          3
                  SDSSJ0054-0109,     +13.5892499,      -1.1560000,   5,          3
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   2,          2
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   3,          2
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   4,          2
                 CFHQSJ0102-0218,     +15.7109990,      -2.3027499,   5,          2
                  SDSSJ0108-0100,     +17.1248333,      -1.0043333,   3,          3
                  SDSSJ0108-0100,     +17.1248333,      -1.0043333,   4,          2
                  SDSSJ0108-0100,     +17.1248333,      -1.0043333,   5,          3
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   1,          2
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   2,          2
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   3,          4
                   VIKJ0109-3047,     +17.4713790,     -30.7906420,   4,          2
                  SDSSJ0115+0015,     +18.9365833,      +0.2541388,   3,          5
                  SDSSJ0115+0015,     +18.9365833,      +0.2541388,   4,          3
                  SDSSJ0115+0015,     +18.9365833,      +0.2541388,   5,          5
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   2,          4
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   3,          4
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   4,          4
                SDWISEJ0115-0253,     +18.9427916,      -2.8867333,   5,          4
                  SDSSJ0129-0028,     +22.2810000,      -0.4793055,   3,          4
                  SDSSJ0129-0028,     +22.2810000,      -0.4793055,   4,          2
                  SDSSJ0129-0028,     +22.2810000,      -0.4793055,   5,          4
                  SDSSJ0129-0035,     +22.4937910,      -0.5943611,   3,          4
                  SDSSJ0129-0035,     +22.4937910,      -0.5943611,   4,          2
                  SDSSJ0129-0035,     +22.4937910,      -0.5943611,   5,          4
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   2,          2
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   3,          2
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   4,          2
                SDWISEJ0131-0321,     +22.8639166,      -3.3500527,   5,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   2,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   3,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   4,          2
            PSOJ023.0071-02.2675,     +23.0071000,      -2.2675300,   5,          2
                  SDSSJ0133+0106,     +23.3618333,      +1.1104722,   3,          4
                  SDSSJ0133+0106,     +23.3618333,      +1.1104722,   4,          3
                  SDSSJ0133+0106,     +23.3618333,      +1.1104722,   5,          5
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   1,          2
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   2,          2
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   3,          6
          ATLASJ025.6821-33.4627,     +25.6821972,     -33.4626300,   5,          2
                  VDESJ0143-5545,     +25.7926667,     -55.7529667,   3,          2
                  VDESJ0143-5545,     +25.7926667,     -55.7529667,   5,          2
            PSOJ029.5172-29.0886,     +29.5172600,     -29.0886800,   1,          1
            PSOJ029.5172-29.0886,     +29.5172600,     -29.0886800,   2,          3
            PSOJ029.5172-29.0886,     +29.5172600,     -29.0886800,   3,          2
            PSOJ029.5172-29.0886,     +29.5172600,     -29.0886800,   4,          1
            PSOJ029.5172-29.0886,     +29.5172600,     -29.0886800,   5,          1
          ATLASJ029.9915-36.5658,     +29.9915479,     -36.5657230,   3,          3
          ATLASJ029.9915-36.5658,     +29.9915479,     -36.5657230,   5,          3
               SHELLQsJ0202-0251,     +30.7425417,      -2.8648889,   3,          2
               SHELLQsJ0202-0251,     +30.7425417,      -2.8648889,   4,          2
               SHELLQsJ0202-0251,     +30.7425417,      -2.8648889,   5,          2
                  ULASJ0203+0012,     +30.8849155,      +0.2081304,   3,          4
                  ULASJ0203+0012,     +30.8849155,      +0.2081304,   4,          2
                  ULASJ0203+0012,     +30.8849155,      +0.2081304,   5,          4
                  SDSSJ0205-0955,     +31.4442916,      -9.9232500,   3,          2
                  SDSSJ0205-0955,     +31.4442916,      -9.9232500,   5,          2
               SHELLQsJ0206-0255,     +31.5466667,      -2.9271667,   3,          4
               SHELLQsJ0206-0255,     +31.5466667,      -2.9271667,   4,          4
               SHELLQsJ0206-0255,     +31.5466667,      -2.9271667,   5,          4
                  SDSSJ0208-0112,     +32.0179583,      -1.2095277,   3,          2
                  SDSSJ0208-0112,     +32.0179583,      -1.2095277,   4,          2
                  SDSSJ0208-0112,     +32.0179583,      -1.2095277,   5,          2
                 CFHQSJ0210-0456,     +32.5549580,      -4.9391388,   3,          3
                 CFHQSJ0210-0456,     +32.5549580,      -4.9391388,   4,          3
                 CFHQSJ0210-0456,     +32.5549580,      -4.9391388,   5,          3
                  SDSSJ0210+0003,     +32.7361249,      +0.0513056,   3,          7
                  SDSSJ0210+0003,     +32.7361249,      +0.0513056,   4,          3
                  SDSSJ0210+0003,     +32.7361249,      +0.0513056,   5,          7
               SHELLQsJ0211-0203,     +32.9355417,      -2.0510833,   3,          4
               SHELLQsJ0211-0203,     +32.9355417,      -2.0510833,   4,          4
               SHELLQsJ0211-0203,     +32.9355417,      -2.0510833,   5,          4
               SHELLQsJ0213-0626,     +33.3205833,      -6.4375556,   3,          4
               SHELLQsJ0213-0626,     +33.3205833,      -6.4375556,   4,          4
               SHELLQsJ0213-0626,     +33.3205833,      -6.4375556,   5,          4
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,   1,         74
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,   2,         87
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,   3,         34
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,   4,         51
                   MMTJ0215-0529,     +33.8469583,      -5.4960556,   5,         52
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,   1,        180
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,   2,        201
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,   3,         81
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,   4,        124
                 CFHQSJ0216-0455,     +34.1158750,      -4.9261388,   5,        120
                 VDESJ02165-5226,     +34.1618750,     -52.4390556,   3,          3
                 VDESJ02165-5226,     +34.1618750,     -52.4390556,   5,          3
               SHELLQsJ0217-0208,     +34.3399583,      -2.1479444,   3,          2
               SHELLQsJ0217-0208,     +34.3399583,      -2.1479444,   4,          2
               SHELLQsJ0217-0208,     +34.3399583,      -2.1479444,   5,          2
                  SDSSJ0218-0027,     +34.5878333,      -0.4626946,   3,          5
                  SDSSJ0218-0027,     +34.5878333,      -0.4626946,   4,          2
                  SDSSJ0218-0027,     +34.5878333,      -0.4626946,   5,          5
               SHELLQsJ0220-0432,     +35.1238333,      -4.5344444,   1,          3
               SHELLQsJ0220-0432,     +35.1238333,      -4.5344444,   2,        172
               SHELLQsJ0220-0432,     +35.1238333,      -4.5344444,   3,        105
               SHELLQsJ0220-0432,     +35.1238333,      -4.5344444,   4,         86
               SHELLQsJ0220-0432,     +35.1238333,      -4.5344444,   5,        104
                  MMTJ0221-0342A,     +35.3013333,      -3.7087778,   1,          2
                  MMTJ0221-0342A,     +35.3013333,      -3.7087778,   3,          4
                  MMTJ0221-0342A,     +35.3013333,      -3.7087778,   4,          4
                  MMTJ0221-0342A,     +35.3013333,      -3.7087778,   5,          4
                 SDSSJ0221-0342B,     +35.3025416,      -3.7145000,   1,          3
                 SDSSJ0221-0342B,     +35.3025416,      -3.7145000,   3,          5
                 SDSSJ0221-0342B,     +35.3025416,      -3.7145000,   4,          5
                 SDSSJ0221-0342B,     +35.3025416,      -3.7145000,   5,          5
                 CFHQSJ0221-0802,     +35.3446250,      -8.0476388,   3,          4
                 CFHQSJ0221-0802,     +35.3446250,      -8.0476388,   5,          4
                  VDESJ0224-4711,     +36.1105700,     -47.1914900,   3,          2
                  VDESJ0224-4711,     +36.1105700,     -47.1914900,   4,          2
                  VDESJ0224-4711,     +36.1105700,     -47.1914900,   5,          2
                 CFHQSJ0227-0605,     +36.9303750,      -6.0917222,   1,          2
                 CFHQSJ0227-0605,     +36.9303750,      -6.0917222,   2,          2
                 CFHQSJ0227-0605,     +36.9303750,      -6.0917222,   3,          6
                 CFHQSJ0227-0605,     +36.9303750,      -6.0917222,   4,          4
                 CFHQSJ0227-0605,     +36.9303750,      -6.0917222,   5,          4
                  SDSSJ0230+0046,     +37.5094583,      +0.7796667,   3,          4
                  SDSSJ0230+0046,     +37.5094583,      +0.7796667,   4,          4
                  SDSSJ0230+0046,     +37.5094583,      +0.7796667,   5,          4
                  SDSSJ0231-0728,     +37.9068333,      -7.4817778,   3,          3
                  SDSSJ0231-0728,     +37.9068333,      -7.4817778,   5,          3
            PSOJ037.9706-28.8389,     +37.9706570,     -28.8389110,   1,          2
            PSOJ037.9706-28.8389,     +37.9706570,     -28.8389110,   2,          2
            PSOJ037.9706-28.8389,     +37.9706570,     -28.8389110,   3,          4
            PSOJ037.9706-28.8389,     +37.9706570,     -28.8389110,   5,          2
               SHELLQsJ0235-0532,     +38.9267500,      -5.5448889,   3,          3
               SHELLQsJ0235-0532,     +38.9267500,      -5.5448889,   4,          3
               SHELLQsJ0235-0532,     +38.9267500,      -5.5448889,   5,          3
                  SDSSJ0239-0045,     +39.8760000,      -0.7514999,   3,          3
                  SDSSJ0239-0045,     +39.8760000,      -0.7514999,   4,          3
                  SDSSJ0239-0045,     +39.8760000,      -0.7514999,   5,          3
                  VDESJ0244-5008,     +41.0000000,     -50.1333333,   3,          4
                  VDESJ0244-5008,     +41.0000000,     -50.1333333,   4,          4
                  VDESJ0244-5008,     +41.0000000,     -50.1333333,   5,          4
                  VDESJ0246-5219,     +41.7329167,     -52.3305278,   3,          3
                  VDESJ0246-5219,     +41.7329167,     -52.3305278,   5,          3
            PSOJ042.6690-02.9174,     +42.6690900,      -2.9174500,   3,          2
            PSOJ042.6690-02.9174,     +42.6690900,      -2.9174500,   5,          2
            PSOJ045.1840-22.5408,     +45.1840820,     -22.5408850,   3,          2
            PSOJ045.1840-22.5408,     +45.1840820,     -22.5408850,   5,          2
                  SDSSJ0301+0020,     +45.3208749,      +0.3405556,   3,          2
                  SDSSJ0301+0020,     +45.3208749,      +0.3405556,   4,          2
                  SDSSJ0301+0020,     +45.3208749,      +0.3405556,   5,          2
                  SDSSJ0303-0019,     +45.8808330,      -0.3202499,   3,          2
                  SDSSJ0303-0019,     +45.8808330,      -0.3202499,   4,          2
                   VIKJ0305-3150,     +46.3204830,     -31.8488610,   1,          3
                   VIKJ0305-3150,     +46.3204830,     -31.8488610,   2,          3
                   VIKJ0305-3150,     +46.3204830,     -31.8488610,   3,          5
                   VIKJ0305-3150,     +46.3204830,     -31.8488610,   4,          3
                   VIKJ0305-3150,     +46.3204830,     -31.8488610,   5,          3
                  SDSSJ0321+0029,     +50.4794583,      +0.4948335,   3,          4
                  SDSSJ0321+0029,     +50.4794583,      +0.4948335,   4,          4
                  SDSSJ0321+0029,     +50.4794583,      +0.4948335,   5,          4
                  VDESJ0323-4701,     +50.9180833,     -47.0222583,   3,          2
                  VDESJ0323-4701,     +50.9180833,     -47.0222583,   4,          2
                  VDESJ0323-4701,     +50.9180833,     -47.0222583,   5,          2
                   VIKJ0328-3253,     +52.1479420,     -32.8896780,   1,          2
                   VIKJ0328-3253,     +52.1479420,     -32.8896780,   2,          3
                   VIKJ0328-3253,     +52.1479420,     -32.8896780,   3,          6
                   VIKJ0328-3253,     +52.1479420,     -32.8896780,   4,          3
                   VIKJ0328-3253,     +52.1479420,     -32.8896780,   5,          3
                  VDESJ0330-4025,     +52.6163333,     -40.4212222,   3,          3
                  VDESJ0330-4025,     +52.6163333,     -40.4212222,   5,          3
                  SDSSJ0338+0021,     +54.6221249,      +0.3656388,   3,          3
                  SDSSJ0338+0021,     +54.6221249,      +0.3656388,   4,          3
                  SDSSJ0338+0021,     +54.6221249,      +0.3656388,   5,          3
                  SDSSJ0341-0048,     +55.4243750,      -0.8035444,   3,          2
                  SDSSJ0341-0048,     +55.4243750,      -0.8035444,   4,          2
                  SDSSJ0341-0048,     +55.4243750,      -0.8035444,   5,          2
                  SDSSJ0349+0034,     +57.4974999,      +0.5676388,   3,          3
                  SDSSJ0349+0034,     +57.4974999,      +0.5676388,   4,          3
                  SDSSJ0349+0034,     +57.4974999,      +0.5676388,   5,          3
                  SDSSJ0353+0104,     +58.4572136,      +1.0679614,   3,          4
                  SDSSJ0353+0104,     +58.4572136,      +1.0679614,   4,          4
                  SDSSJ0353+0104,     +58.4572136,      +1.0679614,   5,          4
                  VDESJ0408-5632,     +62.0801250,     -56.5413389,   3,          3
                  VDESJ0408-5632,     +62.0801250,     -56.5413389,   5,          3
                  VDESJ0410-4414,     +62.5134583,     -44.2446389,   3,          2
                  VDESJ0410-4414,     +62.5134583,     -44.2446389,   5,          2
                  VDESJ0420-4453,     +65.0472500,     -44.8899444,   3,          2
                  VDESJ0420-4453,     +65.0472500,     -44.8899444,   5,          2
            PSOJ065.4085-26.9543,     +65.4085370,     -26.9543351,   3,          3
            PSOJ065.4085-26.9543,     +65.4085370,     -26.9543351,   5,          3
            PSOJ071.4507-02.3332,     +71.4507500,      -2.3332900,   3,          2
            PSOJ071.4507-02.3332,     +71.4507500,      -2.3332900,   5,          2
                  VDESJ0454-4448,     +73.5074500,     -44.8086400,   3,          2
                  VDESJ0454-4448,     +73.5074500,     -44.8086400,   5,          2
            PSOJ075.9356-07.5061,     +75.9356600,      -7.5061300,   3,          2
            PSOJ075.9356-07.5061,     +75.9356600,      -7.5061300,   5,          2
               SHELLQsJ0834+0211,    +128.5036667,      +2.1963611,   3,          2
               SHELLQsJ0834+0211,    +128.5036667,      +2.1963611,   4,          2
               SHELLQsJ0834+0211,    +128.5036667,      +2.1963611,   5,          2
                  SDSSJ0836+0054,    +129.1827665,      +0.9147934,   1,          2
                  SDSSJ0836+0054,    +129.1827665,      +0.9147934,   2,          3
                  SDSSJ0836+0054,    +129.1827665,      +0.9147934,   3,          4
                  SDSSJ0836+0054,    +129.1827665,      +0.9147934,   4,          3
                  SDSSJ0836+0054,    +129.1827665,      +0.9147934,   5,          3
                   VIKJ0839+0015,    +129.9806500,      +0.2650583,   1,          1
                   VIKJ0839+0015,    +129.9806500,      +0.2650583,   2,          3
                   VIKJ0839+0015,    +129.9806500,      +0.2650583,   3,          4
                   VIKJ0839+0015,    +129.9806500,      +0.2650583,   5,          2
               SHELLQsJ0844-0132,    +131.0358750,      -1.5379167,   1,          2
               SHELLQsJ0844-0132,    +131.0358750,      -1.5379167,   2,          2
               SHELLQsJ0844-0132,    +131.0358750,      -1.5379167,   3,          6
               SHELLQsJ0844-0132,    +131.0358750,      -1.5379167,   4,          2
               SHELLQsJ0844-0132,    +131.0358750,      -1.5379167,   5,          4
               SHELLQsJ0844-0052,    +131.1316666,      -0.8818333,   1,          3
               SHELLQsJ0844-0052,    +131.1316666,      -0.8818333,   2,          3
               SHELLQsJ0844-0052,    +131.1316666,      -0.8818333,   3,          6
               SHELLQsJ0844-0052,    +131.1316666,      -0.8818333,   4,          3
               SHELLQsJ0844-0052,    +131.1316666,      -0.8818333,   5,          5
                   IMSJ0850-0506,    +132.6173333,      -5.1019167,   3,          3
                   IMSJ0850-0506,    +132.6173333,      -5.1019167,   5,          3
               SHELLQsJ0853+0139,    +133.4535000,      +1.6530556,   1,          2
               SHELLQsJ0853+0139,    +133.4535000,      +1.6530556,   2,          2
